[0, 56, 123],[0, 56, 123],[0, 56, 123],[0, 56, 123]
[0, 55, 122],[0, 55, 124],[0, 55, 124],[0, 55, 122]
[0, 53, 120],[0, 54, 125],[0, 54, 125],[0, 53, 120]
[0, 52, 119],[0, 53, 126],[0, 53, 126],[0, 52, 119]
[0, 51, 117],[0, 53, 126],[0, 53, 126],[0, 51, 117]
[0, 49, 115],[0, 52, 127],[0, 52, 127],[0, 49, 115]
[0, 48, 114],[0, 51, 128],[0, 51, 128],[0, 48, 114]
[0, 47, 112],[0, 50, 129],[0, 50, 129],[0, 47, 112]
[0, 46, 110],[0, 50, 129],[0, 50, 129],[0, 46, 110]
[0, 45, 108],[0, 49, 130],[0, 49, 130],[0, 45, 108]
[0, 45, 106],[0, 48, 131],[0, 48, 131],[0, 45, 106]
[0, 44, 104],[0, 47, 132],[0, 47, 132],[0, 44, 104]
[0, 43, 102],[0, 47, 132],[0, 47, 132],[0, 43, 102]
[0, 43, 102],[0, 47, 132],[0, 47, 132],[0, 43, 102]
[0, 43, 105],[0, 49, 133],[0, 49, 133],[0, 43, 105]
[0, 43, 108],[0, 51, 134],[0, 51, 134],[0, 43, 108]
[0, 43, 110],[0, 54, 135],[0, 54, 135],[0, 43, 110]
[0, 43, 113],[0, 56, 135],[0, 56, 135],[0, 43, 113]
[0, 43, 115],[0, 59, 136],[0, 59, 136],[0, 43, 115]
[0, 43, 118],[0, 61, 136],[0, 61, 136],[0, 43, 118]
[0, 43, 120],[0, 64, 136],[0, 64, 136],[0, 43, 120]
[0, 44, 123],[0, 66, 136],[0, 66, 136],[0, 44, 123]
[0, 44, 125],[0, 69, 136],[0, 69, 136],[0, 44, 125]
[0, 45, 128],[0, 71, 136],[0, 71, 136],[0, 45, 128]
[0, 46, 130],[0, 74, 136],[0, 74, 136],[0, 46, 130]
[0, 47, 132],[0, 77, 136],[0, 77, 136],[0, 47, 132]
[0, 47, 132],[0, 77, 136],[0, 77, 136],[0, 47, 132]
